hour_of_day,avg_temp
0,25.106750000000005
1,25.820731707317076
2,24.648235294117647
3,25.567222222222224
4,25.42105263157895
5,24.902222222222225
6,24.77540540540541
7,24.482352941176465
8,23.99127659574468
9,25.050312499999997
10,25.976666666666674
11,25.569591836734688
12,25.83846153846154
13,25.009787234042555
14,23.150294117647057
15,23.537580645161288
16,23.114749999999997
17,25.47431818181818
18,25.703800000000005
19,24.404146341463413
20,25.770749999999992
21,24.66282608695652
22,24.929090909090913
23,25.45636363636364
